,Batch,Optimal,Non-optimal,Score,Rank,Q1_PAA concentration offline(PAA_offline:PAA (g L^{-1})),Q3_PAA concentration offline(PAA_offline:PAA (g L^{-1})),IQR_PAA concentration offline(PAA_offline:PAA (g L^{-1})),Precision Metric (%)
0,15,100.0,0.0,100.0,1,1120.4,1400.8,280.39999999999986,100.0
1,2,100.0,0.0,100.0,1,753.48,1344.8,591.3199999999999,100.0
2,16,100.0,0.0,100.0,1,751.75,1129.8,378.04999999999995,100.0
3,5,100.0,0.0,100.0,1,1207.75,1448.925,241.17499999999995,100.0
4,11,100.0,0.0,100.0,1,1058.5749999999998,1439.7749999999999,381.20000000000005,100.0
5,8,100.0,0.0,100.0,1,975.52,1338.1,362.5799999999999,100.0
6,23,91.30434782608695,8.695652173913043,91.30434782608695,2,1139.8,1441.35,301.54999999999995,100.0
7,29,88.46153846153845,11.538461538461538,88.46153846153845,3,940.9175,1341.275,400.3575000000001,100.0
8,1,85.0,15.0,85.0,4,1413.9250000000002,1631.8,217.87499999999977,100.0
9,20,80.95238095238095,19.047619047619047,80.95238095238095,5,1365.6,1631.4,265.8000000000002,100.0
10,12,80.95238095238095,19.047619047619047,80.95238095238095,5,848.09,1561.9,713.8100000000001,100.0
11,14,80.95238095238095,19.047619047619047,80.95238095238095,5,1063.5,1666.9,603.4000000000001,100.0
12,22,80.95238095238095,19.047619047619047,80.95238095238095,5,1381.0,1605.3,224.29999999999995,100.0
13,17,76.47058823529412,23.52941176470588,76.47058823529412,6,906.37,1417.7,511.33000000000004,100.0
14,26,76.19047619047619,23.809523809523807,76.19047619047619,7,1269.0,1791.0,522.0,100.0
15,27,73.68421052631578,26.31578947368421,73.68421052631578,8,1108.3,1759.35,651.05,100.0
16,13,68.42105263157895,31.57894736842105,68.42105263157895,9,1044.75,1892.65,847.9000000000001,89.07300389196838
17,7,66.66666666666666,33.33333333333333,66.66666666666666,10,1100.0,1900.1,800.0999999999999,87.48906386701664
18,28,57.14285714285714,42.857142857142854,57.14285714285714,11,1378.2,2493.5,1115.3,37.819420783645654
19,21,55.00000000000001,45.0,55.00000000000001,12,1107.75,2049.65,941.9000000000001,73.49506317018792
20,19,52.63157894736842,47.368421052631575,52.63157894736842,13,1380.6,2277.6,897.0,46.755852842809375
21,24,52.38095238095239,47.61904761904761,52.38095238095239,14,1367.8,3381.8,2014.0000000000002,21.459781529294936
22,10,52.38095238095239,47.61904761904761,52.38095238095239,14,1290.0,3731.3,2441.3,20.890509154958423
23,3,48.0,52.0,48.0,15,1171.9,3233.1,2061.2,30.472540267805158
24,4,47.61904761904761,52.38095238095239,47.61904761904761,16,1444.7,3693.8,2249.1000000000004,15.797430083144365
25,6,47.61904761904761,52.38095238095239,47.61904761904761,16,1306.3,4283.0,2976.7,16.585480565727153
26,25,43.47826086956522,56.52173913043478,43.47826086956522,17,1475.25,4674.65,3199.3999999999996,10.150340688879165
27,18,38.095238095238095,61.904761904761905,38.095238095238095,18,1483.8,5278.1,3794.3,8.33355296102048
28,30,38.095238095238095,61.904761904761905,38.095238095238095,18,1500.0,5831.0,4331.0,6.9268067420918955
29,9,31.818181818181817,68.18181818181817,31.818181818181817,19,1554.05,6719.95,5165.9,4.761029055924429
