,Batch,Optimal,Score,Rank,Q1_PAA concentration offline(PAA_offline:PAA (g L^{-1})),Q3_PAA concentration offline(PAA_offline:PAA (g L^{-1})),IQR_PAA concentration offline(PAA_offline:PAA (g L^{-1})),Precision Metric (%)
0,61,100.0,100.0,1,1199.1499999999999,1201.05,1.900000000000091,100.0
1,62,100.0,100.0,1,1199.0,1200.6,1.599999999999909,100.0
2,63,100.0,100.0,1,1198.8,1200.6,1.7999999999999545,100.0
3,64,100.0,100.0,1,1199.3,1200.7,1.400000000000091,100.0
4,65,100.0,100.0,1,1198.7,1200.3,1.599999999999909,100.0
5,66,100.0,100.0,1,1198.9,1201.1,2.199999999999818,100.0
6,67,100.0,100.0,1,1199.0,1200.6,1.599999999999909,100.0
7,68,100.0,100.0,1,1198.3,1201.3,3.0,100.0
8,69,100.0,100.0,1,1198.775,1201.45,2.6749999999999545,100.0
9,70,100.0,100.0,1,1198.8,1200.2,1.400000000000091,100.0
10,71,100.0,100.0,1,1198.95,1202.1,3.1499999999998636,100.0
11,72,100.0,100.0,1,1198.9,1199.6,0.6999999999998181,100.0
12,73,100.0,100.0,1,1199.7,1201.8,2.099999999999909,100.0
13,74,100.0,100.0,1,1198.8,1200.6,1.7999999999999545,100.0
14,75,100.0,100.0,1,1198.8,1201.8,3.0,100.0
15,76,100.0,100.0,1,1199.0,1200.7,1.7000000000000455,100.0
16,77,100.0,100.0,1,1199.15,1200.1,0.9499999999998181,100.0
17,78,100.0,100.0,1,1199.4,1200.8,1.3999999999998636,100.0
18,79,100.0,100.0,1,1198.9,1200.9,2.0,100.0
19,80,100.0,100.0,1,1199.3,1200.5,1.2000000000000455,100.0
20,81,100.0,100.0,1,1199.125,1201.325,2.2000000000000455,100.0
21,82,100.0,100.0,1,1199.0,1201.4,2.400000000000091,100.0
22,83,100.0,100.0,1,1198.825,1200.3,1.474999999999909,100.0
23,84,100.0,100.0,1,1199.2,1201.1,1.8999999999998636,100.0
24,85,100.0,100.0,1,1199.325,1200.4,1.0750000000000455,100.0
25,86,100.0,100.0,1,1198.7,1201.1,2.3999999999998636,100.0
26,87,100.0,100.0,1,1198.975,1200.65,1.675000000000182,100.0
27,88,100.0,100.0,1,1199.5,1200.6,1.099999999999909,100.0
28,89,100.0,100.0,1,1198.2,1200.6,2.3999999999998636,100.0
29,90,100.0,100.0,1,1199.0,1200.7,1.7000000000000455,100.0
