Batch,Optimal,Score,Rank,Precision (Penalized Distance)
61,100.0,100.0,1,0.0
62,100.0,100.0,1,0.0
63,100.0,100.0,1,0.0
64,100.0,100.0,1,0.0
65,100.0,100.0,1,0.0
66,100.0,100.0,1,0.0
67,100.0,100.0,1,0.0
68,100.0,100.0,1,0.0
69,100.0,100.0,1,0.0
70,100.0,100.0,1,0.0
71,100.0,100.0,1,0.0
72,100.0,100.0,1,0.0
73,100.0,100.0,1,0.0
74,100.0,100.0,1,0.0
75,100.0,100.0,1,0.0
76,100.0,100.0,1,0.0
77,100.0,100.0,1,0.0
78,100.0,100.0,1,0.0
79,100.0,100.0,1,0.0
80,100.0,100.0,1,0.0
81,100.0,100.0,1,0.0
82,100.0,100.0,1,0.0
83,100.0,100.0,1,0.0
84,100.0,100.0,1,0.0
85,100.0,100.0,1,0.0
86,100.0,100.0,1,0.0
87,100.0,100.0,1,0.0
88,100.0,100.0,1,0.0
89,100.0,100.0,1,0.0
90,100.0,100.0,1,0.0
