Batch,Optimal,Above Average,Average,Below Average,Non-optimal,Score,Rank,CI Lower,CI Upper,Precision
98,37.21739130434783,18.347826086956523,22.782608695652172,11.043478260869566,10.608695652173914,3.605217391304348,1.0,2.4860518992248064,2.488285290697674,447.7495379330564
93,32.57142857142858,17.904761904761905,26.190476190476193,11.80952380952381,11.523809523809524,3.4819047619047625,2.0,3.2563598913043474,3.260209304347826,259.7798648014899
96,26.956521739130434,25.91304347826087,25.73913043478261,10.869565217391305,10.521739130434783,3.4791304347826086,3.0,3.4796603333333334,3.4847611428571423,196.04731275149825
92,6.347826086956522,46.08695652173913,25.30434782608696,11.652173913043478,10.608695652173914,3.259130434782609,4.0,2.676469760869565,2.678889065217392,413.34195960021714
97,0.0,44.62222222222223,28.53333333333333,17.866666666666667,8.977777777777778,3.088,5.0,2.63699481042654,2.639469241706161,404.1332682123463
99,0.0,0.0,80.2390438247012,10.119521912350598,9.641434262948207,2.70597609561753,6.0,3.4774785869565217,3.4818736304347824,227.5290346833479
100,0.0,0.0,78.6086956521739,10.869565217391305,10.521739130434783,2.680869565217391,7.0,3.0854177555555555,3.0891895555555555,265.12540431624217
94,0.0,0.0,78.26086956521739,11.217391304347826,10.521739130434783,2.677391304347826,8.0,3.601352543478261,3.6063410652173915,200.46018686375186
95,0.0,0.0,73.45971563981043,16.966824644549764,9.57345971563981,2.638862559241706,9.0,2.704336035856574,2.706515079681275,458.91688302191693
91,0.0,0.0,56.666666666666664,35.42635658914728,7.906976744186046,2.487596899224806,10.0,2.679726065217391,2.6819541739130432,448.8111383216456
